,id,Energia (kJ / kcal),Zsír (g), Telített zsírsavak  (g),Szénhidrát  (g), Cukrok  (g),Fehérje (g),Só (g),Rost  (g),Folsav (µg),Nátrium (g), Poliolok  (g), Egyszeresen telítetlen zsírsavak  (g), Többszörösen telítetlen zsírsavak  (g), Ebből koleszterin, Keményítő  (g),A vitamin (µg),D vitamin (µg),E vitamin (mg),K vitamin (µg),C vitamin (mg),Tiamin (mg),Riboflavin (mg),Niacin (mg),B6 vitamin (mg),B 12 vitamin (µg),Biotin (µg),Pantoténsav (mg),Kálium (mg),Klorid (mg),Kalcium (mg),Foszfor (mg),Magnézium (mg),Vas (mg),Cink  (mg),Réz  (mg),Mangán  (mg),Fluor (µg),Szelén (µg),Króm (µg),Molibdén (µg),Jód (µg)
81,4011902,1014/243,15.0000,6.4000,1.0000,.2000,26.0000,5.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4036318,892/213,10,"8,6",29,28,"1,5","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,11110,174/42,0.7000,0.0000,8.0000,3.0000,1.0000,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,3634821,264/63,0.4000,0,15.0000,,1.4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,15148,334/79,0.6000,0.1000,0.0000,0.0000,17.8000,0.1300,.0000,0,.1000,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,3605363,700/170,7.5000,1.1000,22.0000,7.1000,1.5000,0.4000,3.0000,,,,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,
87,4009037,795/190,14.0000,10.0000,12.0000,4.1000,3.5000,0.7500,1.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4070540,1857/443,24.0000,14.0000,43.0000,37.0000,7.5000,0.0100,13.0000,,,,,,,,,,,,,,,,,,,,790.0000,,,,144.0000,14.0000,,,,,,,,
89,4001755,1811/433,16.7000,9.1000,47.2000,42.2000,14.8000,0.8900,14.9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
90,3659397,118/28,0.5000,0.1000,6.6000,6.5000,0.5000,0.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4084217,1052/251,"10,0","9,9","36,0","23,0","1,5","0,10","0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4074198,677/161,"5,0","4,4","26,0","18,0","1,7","0,18","0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4070276,1527/352,"1,6","0,5",73,2,13,"0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
