,id,name,imageUrl,thumbnailUrl,mobileImageUrl,productCount,comparable,discountedCount,childCount,children,boutique,slug,preferredDisplayStyle,promotionContentType,promotionContentId,promotionRecommendationCarouselId
81,5660,Gyermek testápolás,,,,77,False,0,4,[],False,gyermek-testapolas,,,,
82,5661,Hajápolás,,,,524,False,1,5,[],False,hajapolas,,,,
83,5663,Női higiénia,,,,149,False,11,3,[],False,noi-higienia,,,,
84,5664,Parfüm,,,,59,False,0,2,[],False,parfum,,,,
85,5665,Patika,,,,95,False,7,4,[],False,patika,,,,
86,5666,Szájápolás,,,,227,False,12,6,[],False,szajapolas,,,,
87,5669,Joghurtok,,,,196,False,13,6,[],False,joghurtok,,,,
88,5674,Tejdesszertek,,,,185,False,2,11,[],False,tejdesszertek,,,,
89,5675,"Tejföl, kefir, finomföl",,,,63,False,4,6,[],False,tejfol-kefir-finomfol,,,,
90,5676,Tojás,,,,29,False,0,4,[],False,tojas,,,,
91,5677,"Túró, tejszín",,,,81,False,1,7,[],False,turo-tejszin,,,,
92,5678,"Vaj, vajkrém és margarin",,,,112,False,4,5,[],False,vaj-vajkrem-es-margarin,,,,
93,5680,Csomagolt sajtok,,,,460,False,15,9,[],False,csomagolt-sajtok,,,,
94,5681,Gyümölcs,,,,39,False,5,6,[],False,gyumolcs,,,,
95,5682,Előrecsomagolt saláta,,,,58,False,0,3,[],False,elorecsomagolt-salata,,,,
96,5684,Aszalványok,,,,186,False,1,4,[],False,aszalvanyok,,,,
97,5685,Zöldség,,,,67,False,6,10,[],False,zoldseg,,,,
98,5686,Bors,,,,25,False,0,0,[],False,bors,,,,
99,5687,Egyéb fűszerek,,,,95,False,0,0,[],False,egyeb-fuszerek,,,,
100,5688,Paprika,,,,42,False,0,0,[],False,paprika,,,,
101,5689,Só,,,,31,False,0,0,[],False,so,,,,
102,5690,Friss tészta,,,,23,False,0,0,[],False,friss-teszta,,,,
103,5691,Készétel,,,,56,False,0,0,[],False,keszetel,,,,
104,5693,"Saláta, egyéb hidegkonyha",,,,33,False,10,0,[],False,salata-egyeb-hidegkonyha,,,,
105,5694,"Szendvics, pizza",,,,6,False,0,0,[],False,szendvics-pizza,,,,
106,5695,Instant tészta és leves,,,,52,False,0,0,[],False,instant-teszta-es-leves,,,,
107,5696,Leveskocka,,,,41,False,0,0,[],False,leveskocka,,,,
108,5697,Levespor,,,,61,False,0,0,[],False,levespor,,,,
109,5698,Száraz alapok,,,,12,False,0,0,[],False,szaraz-alapok,,,,
110,5701,Halkonzervek,,,,147,False,0,0,[],False,halkonzervek,,,,
111,5702,Libamáj,,,,15,False,0,0,[],False,libamaj,,,,
112,5703,Marhamájkrém,,,,3,False,0,0,[],False,marhamajkrem,,,,
113,5704,Oliva,,,,18,False,0,0,[],False,oliva,,,,
114,5705,Savanyúságok,,,,120,False,3,0,[],False,savanyusagok,,,,
115,5706,Sertésmájkrém,,,,16,False,0,0,[],False,sertesmajkrem,,,,
116,5707,Szárnyasmájkrém,,,,15,False,0,0,[],False,szarnyasmajkrem,,,,
117,5708,Szendvicskrémek,,,,35,False,0,0,[],False,szendvicskremek,,,,
118,5709,Zöldség konzervek,,,,193,False,5,0,[],False,zoldseg-konzervek,,,,
119,5710,Lekvár,,,,85,False,0,0,[],False,lekvar,,,,
120,5711,Méz,,,,40,False,0,0,[],False,mez,,,,
121,5712,Mogyoró és csokoládékrém,,,,37,False,0,0,[],False,mogyoro-es-csokoladekrem,,,,
122,5713,Felnőtt gabonapehely,,,,109,False,0,0,[],False,felnott-gabonapehely,,,,
123,5714,Gyerek gabonapehely,,,,53,False,0,0,[],False,gyerek-gabonapehely,,,,
124,5715,Müzliszeletek,,,,40,False,10,0,[],False,muzliszeletek,,,,
125,5716,Észak-amerika,,,,29,False,4,0,[],False,eszak-amerika,,,,
126,5717,Francia,,,,86,False,0,0,[],False,francia,,,,
127,5718,Görög,,,,27,False,0,0,[],False,gorog,,,,
128,5719,Kelet-Európa,,,,25,False,0,0,[],False,kelet-europa,,,,
129,5720,Kínai,,,,180,False,0,0,[],False,kinai,,,,
130,5721,Marokkó,,,,19,False,0,0,[],False,marokko,,,,
131,5722,Mexikó,,,,102,False,13,0,[],False,mexiko,,,,
132,5724,Német,,,,23,False,0,0,[],False,nemet,,,,
133,5725,Olasz,,,,239,False,3,0,[],False,olasz,,,,
134,5726,Orosz,,,,20,False,0,0,[],False,orosz,,,,
135,5728,Spanyol,,,,36,False,0,0,[],False,spanyol,,,,
136,5729,Török,,,,21,False,0,0,[],False,torok,,,,
137,5730,Durumtészta,,,,71,False,9,0,[],False,durumteszta,,,,
138,5731,Ecet,,,,29,False,0,0,[],False,ecet,,,,
139,5732,Olaj,,,,13,False,0,0,[],False,olaj,,,,
140,5733,Rizs,,,,74,False,0,0,[],False,rizs,,,,
141,5734,Teljes kiőrlésű tészta,,,,6,False,0,0,[],False,teljes-kiorlesu-teszta,,,,
142,5737,"Befőtt, gyümölcskonzerv",,,,24,False,0,0,[],False,befott-gyumolcskonzerv,,,,
143,5738,Befőzési segédanyag,,,,39,False,0,0,[],False,befozesi-segedanyag,,,,
144,5739,Cukor,,,,27,False,0,0,[],False,cukor,,,,
145,5740,Cukrászati segédanyag,,,,202,False,0,0,[],False,cukraszati-segedanyag,,,,
146,5741,Élesztő és tészták,,,,15,False,0,0,[],False,eleszto-es-tesztak,,,,
147,5742,Liszt,,,,29,False,0,0,[],False,liszt,,,,
