,id,level,name,imageUrl,thumbnailUrl,mobileImageUrl,productCount,comparable,discountedCount,childCount,children,boutique,preferredDisplayStyle,promotionContentType,promotionContentId,slug,promotionRecommendationCarouselId
1346,12293,3.0,"Szigetelés, páramentesítés",,,,26,False,0,0,[],False,,,,szigeteles-paramentesites,
1347,12296,3.0,Rovarvédelem,,,,16,False,0,0,[],False,,,,rovarvedelem,
1348,12302,3.0,"Burkolatok, díszlécek",,,,11,False,0,0,[],False,,,,burkolatok-diszlecek,
1349,12305,3.0,"Lakat, zár és kiegészítők",,,,32,False,0,0,[],False,,,,lakat-zar-es-kiegeszitok,
1350,12308,3.0,"Postaláda, épület jelölés",,,,13,False,0,0,[],False,,,,postalada-epulet-jeloles,
1351,12311,3.0,"Gipsz, glett, fuga",,,,6,False,0,0,[],False,,,,gipsz-glett-fuga,
1352,12314,3.0,Pillanatragasztó,,,,16,False,3,0,[],False,,,,pillanatragaszto,
1353,12317,3.0,Kötözők,,,,10,False,0,0,[],False,,,,kotozok,
1354,12320,3.0,Ragasztószalag,,,,31,False,1,0,[],False,,,,ragasztoszalag,
1355,12323,3.0,Építési ragasztók,,,,26,False,3,0,[],False,,,,epitesi-ragasztok,
1356,12326,3.0,"Szigetelő, tömítő ragasztók",,,,33,False,0,0,[],False,,,,szigetelo-tomito-ragasztok,
1357,12329,3.0,"Bilincs, karabíner",,,,6,False,0,0,[],False,,,,bilincs-karabiner,
1358,12332,3.0,Kötőelemek,,,,11,False,0,0,[],False,,,,kotoelemek,
1359,12335,3.0,Csaptelep,,,,12,False,0,0,[],False,,,,csaptelep,
1360,12338,3.0,Zuhany,,,,18,False,3,0,[],False,,,,zuhany,
1361,12341,3.0,Szerelvények,,,,38,False,1,0,[],False,,,,szerelvenyek,
1362,12344,3.0,"Tapéta, falmatrica",,,,7,False,0,0,[],False,,,,tapeta-falmatrica,
1363,12371,3.0,"Takarófólia, takarópapír",,,,13,False,4,0,[],False,,,,takarofolia-takaropapir,
1364,12374,3.0,Festő szerszám,,,,62,False,0,0,[],False,,,,festo-szerszam,
1365,12377,3.0,"Kefék, csiszolók",,,,7,False,0,0,[],False,,,,kefek-csiszolok,
1366,12380,3.0,Kőműves szerszámok,,,,11,False,1,0,[],False,,,,komuves-szerszamok,
1367,12383,3.0,Kések vágószerszámok,,,,15,False,0,0,[],False,,,,kesek-vagoszerszamok,
1368,12389,3.0,"Csavarkulcs, dugókulcs",,,,27,False,0,0,[],False,,,,csavarkulcs-dugokulcs,
1369,12392,3.0,Csavarhúzó,,,,21,False,0,0,[],False,,,,csavarhuzo,
1370,12395,3.0,"Fogó, szorító szerszám",,,,17,False,0,0,[],False,,,,fogo-szorito-szerszam,
1371,12398,3.0,Kalapács,,,,1,False,0,0,[],False,,,,kalapacs,
1372,12401,3.0,Kézi fűrész,,,,8,False,0,0,[],False,,,,kezi-furesz,
1373,12404,3.0,Mérő szerszám,,,,7,False,0,0,[],False,,,,mero-szerszam,
1374,12407,3.0,Segédeszközök,,,,9,False,1,0,[],False,,,,segedeszkozok,
1375,12416,3.0,Famegmunkáló eszközök,,,,4,False,0,0,[],False,,,,famegmunkalo-eszkozok,
1376,12419,3.0,Szerszámkészletek,,,,3,False,0,0,[],False,,,,szerszamkeszletek,
1377,12422,3.0,Polcok és konzolok,,,,11,False,0,0,[],False,,,,polcok-es-konzolok,
1378,12425,3.0,"Tárolók, rendszerezők",,,,30,False,0,0,[],False,,,,tarolok-rendszerezok,
1379,12434,3.0,Munkaruha,,,,38,False,6,0,[],False,,,,munkaruha,
1380,12437,3.0,"Létrák, állványok",,,,6,False,0,0,[],False,,,,letrak-allvanyok,
